| reference | activation function | notes |
| 187 | N/A | Not a PINN paper |
| 188 | N/A | Not a PINN paper (editorial) |
| 189 | N/A | Not a PINN paper |
| 190 | tanh | Mentioned (adaptive tanh) |
| 191 | Gaussian RBF | Mentioned |
| 192 | N/A | Not explicitly stated |
| 193 | tanh | Mentioned |
| 194 | N/A | Not explicitly stated (physics-informed guided deep-learning model; activation function not identified in accessible target-paper sources) |
| 195 | N/A | Not explicitly stated |
| 196 | ReLU, sigmoid | Mentioned |
| 197 | ReLU | Mentioned |
| 198 | N/A | Not explicitly stated |
| 199 | adaptive tanh | Mentioned |
| 200 | N/A | Not a PINN paper |
| 201 | ReLU, Sigmoid | Mentioned |
| 202 | GeLU | Mentioned |
| 203 | ReLU, Tanh, Softmax | Mentioned |
| 204 | Softplus | Mentioned |
| 205 | N/A | Not a PINN paper (circuit-informed neural network for antenna design) |
| 206 | Sin, Tanh, Logistic | Mentioned |
| 207 | Tanh, ReLU, Sigmoid | Mentioned |
| 208 | N/A | Not explicitly stated |
| 209 | N/A | Not explicitly stated |
| 210 | Sigmoid, Tanh | Mentioned |
| 211 | ReLU | Mentioned |
| 212 | N/A | Not a PINN paper (physics-informed reinforcement learning for optimal power flow) |
| 213 | N/A | Not explicitly stated |
| 214 | Sigmoid, ReLU | Mentioned |
| 215 | Tanh | Mentioned |
| 216 | N/A | Not a PINN paper |
| 217 | N/A | Not a PINN paper |
| 218 | N/A | Not a PINN paper |
| 219 | tanh | Mentioned |
| 220 | tanh | Mentioned |
| 221 | Sigmoid | Mentioned |
| 222 | tanh | Mentioned |
| 223 | N/A | Not a PINN paper |
| 224 | GRU gating mechanisms, SoftMax | Mentioned |
| 225 | ReLU | Mentioned |
| 226 | ReLU | Mentioned |
| 227 | tanh | Mentioned |
| 228 | tanh | Mentioned |
| 229 | LeakyReLU | Mentioned |
| 230 | learnable splines (KAN), sine functions | Mentioned |
| 231 | Sine | SIREN (sinusoidal representation) activation function σ(x) = sin(ω₀x) |
| 232 | N/A | Not a PINN paper |
| 233 | Tanh, ReLU | Tanh for hidden layers; ReLU for final layer |
| 234 | Tanh | Mentioned |
| 235 | N/A | Not a standard PINN paper (CCR uses ReLU in CNN but not PINN) |
| 236 | N/A | Not a standard PINN paper |
| 237 | ReLU | Mentioned |
| 238 | Tanh | Tanh outperformed sigmoid and ReLU; compared with cos and sin |
| 239 | Tanh | Tanh found to be better than sigmoid, ReLU, cos, and sin |
| 240 | N/A | Not a PINN paper |
| 241 | Sigmoid | Sigmoid used only in output layer for positivity; hidden layers not specified |
| 242 | N/A | Not a standard PINN paper (POD-ANN uses ReLU) |
| 243 | ReLU, Swish | ReLU for MLP; Swish for hybrid model |
| 244 | Swish | Mentioned |
| 245 | N/A | Review/Conference proceedings volume (multiple papers/chapters) |
| 246 | N/A | Not a PINN paper |
| 247 | N/A | Not explicitly stated (DARTS-PINN uses operation search with fully connected operations; activation functions of individual layers not specified) |
| 248 | Swish | Mentioned |
| 249 | N/A | Not a PINN paper |
| 250 | tanh | Mentioned |
| 251 | tanh | Mentioned |
| 252 | tanh | Mentioned |
| 253 | sigmoid | Mentioned |
| 254 | N/A | Not a PINN paper |
| 255 | leaky ReLU | Mentioned |
| 256 | N/A | Not explicitly stated (the paper uses neural networks but does not name the activation function) |
| 257 | ReLU | Mentioned |
| 258 | Swish | Mentioned |
| 259 | N/A | Not a PINN paper |
| 260 | tanh | Mentioned |
| 261 | ReLU | Mentioned |
| 262 | B-spline (KAN), tanh | Mentioned (KAN uses B-spline activation functions; tanh is also mentioned for comparison/benchmarking) |
| 263 | tanh | Mentioned |
| 264 | tanh | Mentioned |
| 265 | sigmoid | Mentioned |
| 266 | tanh | Mentioned |
| 267 | N/A | Review paper |
| 268 | N/A | Not explicitly stated |
| 269 | ReLU | Mentioned |
| 270 | spherical Hankel function (h₀⁽¹⁾) | Mentioned |
| 271 | tanh | Mentioned |
| 272 | SiLU | Mentioned |
| 273 | N/A | Not a PINN paper (VAE-WGAN-gp, generative model) |
| 274 | N/A | Not a PINN paper (CNN surrogate) |
| 275 | tanh | Mentioned (with locally adaptive slopes) |
| 276 | N/A | Not a PINN paper (field inversion with U‑Net/FFNN) |
| 277 | tanh | Mentioned |
| 278 | N/A | Not a PINN paper (Transformer-based data-driven model) |
| 279 | sine (SIREN) | Mentioned |
| 280 | ReLU | Mentioned |
| 281 | tanh | Mentioned |
| 282 | N/A | Not a PINN paper (CNN-based super‑resolution) |
| 283 | N/A | Not a PINN paper |
| 284 | N/A | Not a PINN paper |
| 285 | Tanh | Mentioned |
| 286 | N/A | Not a PINN paper |
| 287 | N/A | Not explicitly stated |
| 288 | N/A | Not a PINN paper |
| 289 | N/A | Review paper |
| 290 | N/A | Not a PINN paper |
| 291 | Adaptive ReLU | Mentioned |
| 292 | ReLU | Mentioned |
| 293 | Tanh | Mentioned |
| 294 | Tanh | Mentioned |
| 295 | N/A | Not a PINN paper |
| 296 | N/A | Not a PINN paper |
| 297 | Tanh, elu | Mentioned |
| 298 | Tanh | Mentioned |
| 299 | N/A | Not explicitly stated |
| 300 | N/A | Review paper |
| 301 | N/A | Review paper |
| 302 | ReLU | Mentioned |
| 303 | tanh (with nodewise adaptive coefficients) | Mentioned |
| 304 | N/A | Review paper / Discussion of PINNs as potential tool |
| 305 | N/A | Not a PINN paper (super-resolution CNN) |
| 306 | N/A | Review paper |
| 307 | N/A | Not a PINN paper (parallel-in-time multiple shooting) |
| 308 | tanh (hidden layers); sigmoid (output layer) | Mentioned |
| 309 | N/A | Not a PINN paper (MLP-based surrogate; PINN discussed as future work) |
| 310 | swish | Mentioned |
| 311 | tanh | Mentioned |
| 312 | tanh | Mentioned |
| 313 | ReLU | Mentioned |
| 314 | N/A | Not a PINN paper (RCI CT-RL control algorithm) |
| 315 | N/A | Not explicitly stated |
| 316 | SELU | Mentioned |
| 317 | sin (default); tanh | Mentioned |
| 318 | ReLU | Mentioned |
| 319 | N/A | Not explicitly stated |
| 320 | tanh | Mentioned |
| 321 | ReLU | Mentioned |
| 322 | N/A | Not a PINN paper |
| 323 | tanh | Mentioned |
| 324 | tanh | Mentioned |
| 325 | N/A | Not a PINN paper |
| 326 | N/A | Not explicitly stated |
| 327 | N/A | Review paper |
| 328 | tanh | Mentioned |
| 329 | N/A | Review paper |
| 330 | N/A | Review paper |
| 331 | LeakyReLU (α=0.2), tanh, linear | Mentioned |
| 332 | tanh, ReLU (in loss), linear | ReLU used in loss formulation for physics constraints; network uses tanh and linear |
| 333 | tanh | Mentioned |
| 334 | tanh | Mentioned |
| 335 | N/A | Not a PINN paper |
| 336 | eLU | Mentioned |
| 337 | N/A | Not a PINN paper |
| 338 | tanh, sigmoid (for inequality constraints) | Sigmoid used to approximate Heaviside for inequality constraints; tanh for hidden layers |
| 339 | tanh, swish, sigmoid | Mentioned |
| 340 | tanh, swish, sigmoid | Mentioned |
| 341 | N/A | Not a PINN paper |
| 342 | N/A | Not a PINN paper (GNN-based, not PINN) |
| 343 | tanh, 0.1-leaky ReLU | Mentioned |
| 344 | N/A | Not explicitly stated |
| 345 | N/A | Not a PINN paper |
| 346 | tanh, sigmoid, leaky ReLU | Mentioned |
| 347 | tanh | Mentioned |
| 348 | tanh | Mentioned |
| 349 | tanh | Mentioned |
| 350 | tanh, sigmoid | Mentioned |
| 351 | ReLU | Mentioned |
| 352 | N/A | Not a PINN paper |
| 353 | SiLU | Mentioned |
| 354 | ReLU | Mentioned |
| 355 | Tanh | Mentioned |
| 356 | N/A | Review paper |
| 357 | N/A | Review paper |
| 358 | N/A | Not explicitly stated |
| 359 | Sigmoid, Tanh | Mentioned (LSTM gates) |
| 360 | ReLU | Mentioned (in Attention Gate) |
| 361 | N/A | Not a PINN paper |
| 362 | Swish, ReLU, sigmoid, tanh | Mentioned |
| 363 | Swish, ELU | Not a standard PINN (TgCNN) |
| 364 | N/A | Not a PINN paper |
| 365 | tanh | Mentioned |
| 366 | N/A | Not a PINN paper |
| 367 | N/A | Review paper |
| 368 | tanh | Mentioned |
| 369 | tanh | Mentioned |
| 370 | N/A | Not a PINN paper |
| 371 | N/A | Not a PINN paper |
| 372 | Swish, ReLU, sigmoid | Mentioned |
| 373 | N/A | Review paper |
| 374 | tanh | Mentioned |
| 375 | N/A | Review paper |
| 376 | N/A | PINN uses LSTM gates; activation function for the PINN itself not explicitly stated |
| 377 | N/A | Review paper |
| 378 | N/A | Review paper |
| 379 | ReLU | Mentioned |
| 380 | N/A | Review paper |
| 381 | tanh | Mentioned |
| 382 | N/A | Survey paper |
| 383 | tanh, ReLU | Mentioned (both in search space) |
| 384 | N/A | Review paper |
| 385 | N/A | Not explicitly stated |
| 386 | tanh | Mentioned |
| 387 | PReLU, ReLU | Mentioned (PReLU used; ReLU also experimented with) |
| 388 | tanh, Softplus, Sigmoid | Mentioned |
| 389 | N/A | Not a PINN paper |
| 390 | N/A | Not a PINN paper |
| 391 | tanh | Mentioned |
| 392 | tanh | Mentioned |
| 393 | Swish | Mentioned |
| 394 | N/A | Not a PINN paper |
| 395 | N/A | Review paper |
| 396 | tanh, ReLU | Mentioned |
| 397 | N/A | Not a PINN paper |
| 398 | N/A | Not a PINN paper |
| 399 | N/A | Not a PINN paper |
| 400 | N/A | Not a PINN paper |
| 401 | N/A | Review paper |
| 402 | N/A | Not a PINN paper |
| 403 | N/A | Not explicitly stated |
| 404 | ReLU, ELU, Hyperbolic tangent, Logistic | Mentioned |
| 405 | N/A | Not a PINN paper |
| 406 | Swish | Mentioned |
| 407 | N/A | Review paper |
| 408 | Swish | Mentioned |
| 409 | N/A | Not a PINN paper |
| 410 | Hyperbolic tangent | Mentioned |
| 411 | Sinus | Mentioned |
| 412 | tanh | Mentioned |
| 413 | N/A | Not explicitly stated |
| 414 | Hyperbolic tangent | Mentioned |
| 415 | tanh (fixed), adaptive tanh (with parameter a) | Mentioned |
| 416 | N/A | Not explicitly stated |
| 417 | ReLU, Leaky ReLU | Mentioned |
| 418 | tanh | Mentioned |
| 419 | ReLU | Mentioned |
| 420 | tanh | Mentioned |
| 421 | tanh | Mentioned |
| 422 | tanh | Mentioned |
| 423 | ReLU, Leaky ReLU, tanh | Mentioned |
| 424 | tanh | Mentioned |
| 425 | Swish | Mentioned |
| 426 | tanh | Mentioned |
| 427 | tanh | Mentioned |
| 428 | tanh, sin, ReLU | Mentioned |
| 429 | tanh | Mentioned |
| 430 | N/A | Not a PINN paper |
| 431 | N/A | Not explicitly stated |
| 432 | tanh | Mentioned |
| 433 | N/A | Not a PINN paper |
| 434 | N/A | Not a PINN paper |
| 435 | tanh | Mentioned |
| 436 | softplus | Mentioned |
| 437 | N/A | Not a PINN paper |
| 438 | layer‑wise tanh (adaptive) | Mentioned |
| 439 | arctan (hidden), linear (output) | Mentioned |
| 440 | N/A | Not a PINN paper |
| 441 | N/A | Not a PINN paper |
| 442 | tanh | Mentioned |
| 443 | N/A | Not a PINN paper |
| 444 | tanh | Mentioned |
| 445 | tanh | Mentioned |
| 446 | N/A | Not a PINN paper |
| 447 | tanh | Mentioned |
| 448 | N/A | Not a PINN paper |
| 449 | N/A | Not a PINN paper |
| 450 | tanh | Mentioned |
| 451 | N/A | Not a PINN paper |
| 452 | N/A | Not explicitly stated (activation function not identified in accessible target-paper sources) |
| 453 | N/A | Not a PINN paper |
| 454 | N/A | Not a PINN paper |
| 455 | N/A | Not a PINN paper |
| 456 | N/A | Not a PINN paper |
| 457 | tanh, ReLU | Mentioned |
| 458 | N/A | Not a PINN paper |
| 459 | N/A | Not a PINN paper |
| 460 | N/A | Not a PINN paper |
| 461 | tanh; sigmoid | Mentioned |
| 462 | N/A | Not a PINN paper |
| 463 | tanh | Mentioned |
| 464 | N/A | Not explicitly stated |
| 465 | ReLU; GeLU | Mentioned |
| 466 | N/A | Not a PINN paper |
| 467 | N/A | Survey paper |
| 468 | N/A | Review paper |
| 469 | N/A | Not a PINN paper |
| 470 | tanh | Mentioned |
| 471 | N/A | Not a PINN paper |
| 472 | N/A | Not a PINN paper |
| 473 | tanh | Mentioned |
| 474 | N/A | Not a PINN paper |
| 475 | tanh; sigmoid; linear; exponential | Mentioned |
| 476 | tanh | Mentioned |
| 477 | N/A | Not explicitly stated |
| 478 | tanh; linear; exponential; logistic | Mentioned |
| 479 | tanh | Mentioned |
| 480 | tanh | Mentioned |
| 481 | tanh |  |
| 482 | tanh, ReLU, sigmoid, softmax, elu, sine, Swish, Stan | Review paper |
| 483 | N/A | Not explicitly stated |
| 484 | tanh |  |
| 485 | Swish (adaptive) |  |
| 486 | tanh |  |
| 487 | tanh (with nodewise coefficients), ReLU |  |
| 488 | tanh |  |
| 489 | tanh |  |
| 490 | N/A | Not a PINN paper |
| 491 | N/A | Not a PINN paper |
| 492 | N/A | Not a PINN paper |
| 493 | tanh, sine, ReLU |  |
| 494 | N/A | Not a PINN paper |
| 495 | N/A | Review paper |
| 496 | tanh |  |
| 497 | sine |  |
| 498 | GELU |  |
| 499 | tanh |  |
| 500 | tanh |  |
| 501 | Tanh | Mentioned |
| 502 | Tanh | Mentioned |
| 503 | N/A | Review paper |
| 504 | Tanh | Mentioned |
| 505 | Tanh | Mentioned |
| 506 | Sin(2π), tanhshrink, Tanh | Mentioned |
| 507 | Tanh | Mentioned |
| 508 | Swish | Mentioned |
| 509 | N/A | Not a PINN paper |
| 510 | N/A | Not explicitly stated |
| 511 | N/A | Not a PINN paper |
| 512 | Tanh | Mentioned |
| 513 | Sigmoid | Mentioned |
| 514 | N/A | Not explicitly stated |
| 515 | N/A | Not a PINN paper |
| 516 | Tanh (with locally adaptive scaling) | Mentioned |
| 517 | tanh | Mentioned |
| 518 | N/A | Not a PINN paper |
| 519 | N/A | Not a PINN paper |
| 520 | tanh | Mentioned |
| 521 | N/A | Not a PINN paper |
| 522 | N/A | Not a PINN paper |
| 523 | N/A | Not a PINN paper |
| 524 | N/A | Not a PINN paper |
| 525 | tanh | Mentioned |
| 526 | tanh | Mentioned |
| 527 | tanh, swish | Mentioned |
| 528 | tanh | Mentioned |
| 529 | tanh, sigmoid, linear | Mentioned |
| 530 | N/A | Not a PINN paper |
| 531 | tanh, swish, sigmoid, softplus, ReLU, ReCU | Mentioned |
| 532 | N/A | Not a PINN paper |
| 533 | tanh | Mentioned |
| 534 | sine | Mentioned |
| 535 | ReLU | Mentioned |
| 536 | swish | Mentioned |
| 537 | tanh | Mentioned |
| 538 | tanh | Mentioned |
| 539 | LeakyReLU | Mentioned |
| 540 | sin | Mentioned |
| 541 | tanh | Mentioned |
| 542 | tanh | Mentioned |
| 543 | tanh | Mentioned |
| 544 | tanh | Mentioned |
| 545 | tanh | Mentioned |
| 546 | N/A | Not explicitly stated |
| 547 | N/A | Not explicitly stated |
| 548 | tanh | Mentioned |
| 549 | sigmoid | Mentioned |
| 550 | N/A | Not explicitly stated |
| 551 | tanh | Mentioned |
| 552 | N/A | Not explicitly stated |
| 553 | tanh; softplus | Mentioned |
| 554 | sine | Mentioned |
| 555 | N/A | Not a PINN paper |
| 556 | N/A | Not explicitly stated |
| 557 | N/A | Not explicitly stated |
| 558 | tanh; periodic activation function | Mentioned |
| 559 | ReLU; tanh | Mentioned |
| 560 | N/A | Not explicitly stated |
| 561 | N/A | Not explicitly stated |
| 562 | N/A | Not explicitly stated |
| 563 | ReLU | Mentioned |
| 564 | N/A | Not explicitly stated |
| 565 | ReLU | Mentioned |
| 566 | Hardswish; LeakyReLU | Mentioned |
| 567 | N/A | Not explicitly stated |
| 568 | N/A | GAN-based approach, not a standard PINN implementation |
| 569 | Tanh | Mentioned |
| 570 | N/A | Not explicitly stated |
| 571 | ReLU | Mentioned |
| 572 | N/A | Not explicitly stated |
| 573 | Mish, tanh | Mentioned |
| 574 | N/A | Not explicitly stated |
| 575 | N/A | Not explicitly stated |
| 576 | N/A | Not explicitly stated |
| 577 | N/A | Not explicitly stated |
| 578 | cos(z) | Mentioned (cosine activation for Klein-Gordon equation) |
| 579 | Tanh | Mentioned |
| 580 | ReLU | Mentioned |
| 581 | N/A | Not explicitly stated |
| 582 | N/A | Not a PINN paper (CNN architecture) |
| 583 | Tanh | Mentioned |
| 584 | Tanh | Mentioned |
| 585 | Arctan, Tanh, Swish, LeCun's Tanh, Bipolar sigmoid, Mish, Sigmoid | Multiple compared; Arctan found most stable and accurate |
| 586 | Sine | Explicitly stated |
| 587 | Swish | Explicitly stated |
| 588 | Tanh (hidden layers); Linear (output layer) | Explicitly stated |
| 589 | Tanh | Explicitly stated |
| 590 | ReLU (autoencoder hidden); Linear (autoencoder output) | Explicitly stated |
| 591 | ReLU (hidden); Linear (output) | Explicitly stated |
| 592 | Tanh | Explicitly stated |
| 593 | Tanh | Explicitly stated |
| 594 | ReLU (GoogleNet) | Explicitly stated for CNN |
| 595 | ReLU or Tanh | "ReLU^k or tanh" stated |
| 596 | N/A | Not explicitly stated |
| 597 | ReLU (PINN approach); unspecified for DeepONet | ReLU mentioned for PINN approach; DeepONet activation not specified |
| 598 | Tanh | Explicitly stated |
| 599 | Tanh (all hidden layers); ReLU (CNN branch) | Explicitly stated |
| 600 | ReLU (no second-order derivatives); GELU (with second-order derivatives) | GELU preferred when second-order derivatives involved |
| 601 | Tanh | Mentioned |
| 602 | Tanh | Mentioned |
| 603 | N/A | Not explicitly stated |
| 604 | Sinusoidal (sin) | Mentioned |
| 605 | Tanh; Sine | Mentioned |
| 606 | Tanh | Mentioned |
| 607 | Tanh | Mentioned |
| 608 | Sine | Mentioned |
| 609 | Tanh | Mentioned |
| 610 | Physics-informed kernel functions (PIKFs) | Activation functions are problem-specific kernel functions; not standard activation |
| 611 | Gabor function | Activation via multiplicative filter network |
| 612 | Tanh | Mentioned |
| 613 | Tanh | Mentioned |
| 614 | N/A | Not a PINN paper |
| 615 | N/A | Not a PINN paper |
| 616 | Tanh | Mentioned |
| 617 | tanh | Mentioned |
| 618 | tanh; sin | tanh for CFD, sin for Lotka-Volterra |
| 619 | sin; tanh | Mentioned |
| 620 | N/A | Not a PINN paper |
| 621 | inverse tangent | Mentioned |
| 622 | ReLU | Mentioned |
| 623 | N/A | Paper not available |
| 624 | swish | Mentioned |
| 625 | sine | Mentioned |
| 626 | tanh | Mentioned |
| 627 | Fourier feature mapping; ½ sin(x)+½ cos(x) | Fourier feature in first hidden layer; ½ sin(x)+½ cos(x) in other hidden layers |
| 628 | tanh; sin; cos | Locally adaptive activation functions; different functions used in different sub-domains |
| 629 | N/A | Not explicitly stated |
| 630 | tanh; linear | tanh in hidden layers; linear in output layers |
| 631 | sin | Mentioned |
| 632 | N/A | Not explicitly stated |
| 633 | tanh | Mentioned |
| 634 | tanh, ELU | Mentioned |
| 635 | tanh | Mentioned |
| 636 | tanh | Mentioned |
| 637 | tanh | Mentioned |
| 638 | tanh, ReLU | Mentioned |
| 639 | tanh | Mentioned |
| 640 | Gaussian RBF | Mentioned |
| 641 | Gaussian RBF | Mentioned |
| 642 | tanh | Mentioned |
| 643 | N/A | Not explicitly stated |
| 644 | tanh | Mentioned |
| 645 | swish, tanh | Mentioned |
| 646 | sine | Mentioned (with positional encoding) |
| 647 | tanh, sin | Mentioned |
| 648 | N/A | Not explicitly stated |
| 649 | N/A | Not explicitly stated |
| 650 | N/A | Not explicitly stated |
| 651 | GELU, sine | Mentioned |
| 652 | N/A | Not explicitly stated |
| 653 | N/A | Not a PINN paper |
| 654 | N/A | Not a PINN paper |
| 655 | N/A | Not explicitly stated |
| 656 | ReLU | Mentioned |
| 657 | N/A | Not a PINN paper |
| 658 | N/A | Review paper |
| 659 | ReLU | Mentioned |
| 660 | tanh, neuron-wise locally adaptive activation | Mentioned |
| 661 | N/A | Not explicitly stated |
| 662 | sigmoid | Mentioned |
| 663 | tanh | Mentioned |
| 664 | N/A | Not a PINN paper |
| 665 | N/A | Not a PINN paper |
| 666 | N/A | Not explicitly stated |
| 667 | Tanh, Softplus | Mentioned |
| 668 | ReLU | Mentioned |
| 669 | Tanh | Mentioned |
| 670 | Tanh, LeakyReLU, Sigmoid | Mentioned |
| 671 | Swish | Mentioned |
| 672 | sine, sigmoid | Mentioned |
| 673 | Tanh | Mentioned |
| 674 | ReLU | Mentioned |
| 675 | N/A | Not a PINN paper |
| 676 | Tanh, Linear | Mentioned |
