inventory_row_id	raw_reported_form	paper_ids	disposition	verification_state	verified_expansion_if_supported	collision_ids	alias_collision_state	source_local_scope	PINN_type_eligibility	raw_parenthetical_text
PT4D-0051	PIDNN	179,250	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	multi_paper_candidate_not_canonical	conditional_method_dimension_candidate	
PT4D-0052	Energy-based PINN	190	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0053	PIRBFNN	191,804	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	multi_paper_candidate_not_canonical	conditional_method_dimension_candidate	
PT4D-0054	Jacobian-informed PINN	192	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0055	mnPINN	195	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0056	TLPKT_PINN	201	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0057	CINN, PINN	205	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0058	EAM-PINN	206	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0059	Res-PINNs	209	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0060	PIGNN	215	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0061	e-PINN	221	source_local_or_author_defined_name	needs_primary_source_verification		C006	case_sensitive_non_equivalence	paper_scoped_or_unresolved	conditional_source_local_candidate	
PT4D-0062	G-CVAE-PINN	225	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0063	WF-PINN	228	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0064	KAN-PINN	230	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification		C012	adjacent_concept_non_equivalence	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0065	SAS-PINN	231	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C011	scoped_alias_candidate	single_paper_candidate	eligible_unverified_candidate	
PT4D-0066	SIREN	231	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0067	PINN-TSE	233	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
